title,index,duration,parallel,pre-dependency,nxt-dependency,start,finish
bread,0,14,False,[],[],,
bread,1,6,False,[],"[5, 6, 8, 11, 12, 13]",,
bread,2,47,True,[],"[6, 8, 10, 11, 12, 13]",,
bread,3,37,False,[],"[5, 6, 10, 11]",,
bread,4,23,False,[],"[5, 8, 10, 11, 12, 13]",,
bread,5,5,False,"[1, 4, 3]","[8, 10, 11, 12, 13]",,
bread,6,49,False,"[1, 3, 2]","[8, 9, 11, 12, 13]",,
bread,7,8,True,[],"[8, 11, 12, 13]",,
bread,8,44,True,"[4, 6, 1, 2, 5, 7]","[9, 10, 11, 12]",,
bread,9,29,True,"[6, 8]",[11],,
bread,10,15,True,"[4, 3, 5, 2, 8]","[12, 13]",,
bread,11,37,False,"[8, 3, 7, 5, 4, 2, 9, 1, 6]",[13],,
bread,12,20,False,"[1, 2, 6, 10, 5, 4, 8, 7]",[13],,
bread,13,26,True,"[1, 12, 2, 5, 10, 7, 4, 6, 11]",[],,
cookie,0,14,True,[],[],,
cookie,1,7,False,[],"[2, 3, 7, 9, 11, 13]",,
cookie,2,32,True,[1],"[3, 6, 7, 8, 9, 10, 11, 13]",,
cookie,3,18,True,"[1, 2]","[6, 9, 11, 12, 13]",,
cookie,4,14,False,[],"[6, 7, 9, 11, 12, 13]",,
cookie,5,2,True,[],"[7, 9, 11, 13]",,
cookie,6,19,False,"[3, 2, 4]","[9, 11, 13]",,
cookie,7,36,False,"[1, 2, 5, 4]","[9, 11, 13]",,
cookie,8,23,False,[2],"[9, 11, 13]",,
cookie,9,24,False,"[1, 7, 3, 2, 6, 5, 8, 4]","[11, 13]",,
cookie,10,34,True,[2],"[11, 13]",,
cookie,11,13,True,"[2, 10, 1, 8, 4, 6, 3, 5, 7, 9]",[13],,
cookie,12,6,True,"[3, 4]",[13],,
cookie,13,20,True,"[1, 10, 2, 7, 4, 6, 9, 11, 3, 5, 8, 12]",[],,
